series,horizon,forecast_period,point_raw,point_forecast,bias_correction,lower_80,median,upper_80,ensemble_mape_pct,champion_model
Americas,1,2026-Q2,45672.0,49396.0,3724.0,45915.0,48387.0,55078.0,7.24,holt_winters
Americas,2,2026-Q3,46400.0,50124.0,3724.0,45201.0,48697.0,58160.0,7.24,holt_winters
Americas,3,2026-Q4,48681.0,52404.0,3724.0,46375.0,50657.0,62247.0,7.24,holt_winters
Europe,1,2026-Q2,28241.0,30989.0,2748.0,27134.0,32270.0,34928.0,10.462,seasonal_naive
Europe,2,2026-Q3,28365.0,31113.0,2748.0,25661.0,32925.0,36683.0,10.462,seasonal_naive
Europe,3,2026-Q4,32534.0,35282.0,2748.0,28605.0,37501.0,42104.0,10.462,seasonal_naive
Greater China,1,2026-Q2,18535.0,20527.0,1992.0,17684.0,18937.0,27417.0,11.549,seasonal_naive
Greater China,2,2026-Q3,19793.0,21785.0,1992.0,17765.0,19537.0,31530.0,11.549,seasonal_naive
Greater China,3,2026-Q4,19777.0,21769.0,1992.0,16844.0,19015.0,33703.0,11.549,seasonal_naive
Japan,1,2026-Q2,7814.0,8452.0,638.0,7970.0,8175.0,9189.0,7.944,seasonal_naive
Japan,2,2026-Q3,6681.0,7319.0,638.0,6637.0,6928.0,8361.0,7.944,seasonal_naive
Japan,3,2026-Q4,7327.0,7965.0,638.0,7131.0,7486.0,9241.0,7.944,seasonal_naive
Mac,1,2026-Q2,8397.0,8558.0,161.0,7937.0,8910.0,9055.0,5.061,cagr
Mac,2,2026-Q3,8419.0,8580.0,161.0,7701.0,9078.0,9283.0,5.061,cagr
Mac,3,2026-Q4,8708.0,8868.0,161.0,7792.0,9478.0,9729.0,5.061,cagr
Rest of Asia Pacific,1,2026-Q2,9128.0,10217.0,1090.0,9036.0,10094.0,11648.0,11.506,holt_winters
Rest of Asia Pacific,2,2026-Q3,9486.0,10576.0,1090.0,8905.0,10402.0,12598.0,11.506,holt_winters
Rest of Asia Pacific,3,2026-Q4,10136.0,11226.0,1090.0,9179.0,11013.0,13703.0,11.506,holt_winters
Services,1,2026-Q2,30131.0,31128.0,997.0,30862.0,31258.0,31280.0,3.519,cagr
Services,2,2026-Q3,30822.0,31819.0,997.0,31442.0,32002.0,32033.0,3.519,cagr
Services,3,2026-Q4,31617.0,32614.0,997.0,32153.0,32839.0,32877.0,3.519,cagr
Wearables Home and Accessories,1,2026-Q2,7822.0,7738.0,-84.0,7120.0,8316.0,8368.0,7.173,holt_winters
Wearables Home and Accessories,2,2026-Q3,7797.0,7712.0,-84.0,6838.0,8530.0,8604.0,7.173,holt_winters
Wearables Home and Accessories,3,2026-Q4,8887.0,8803.0,-84.0,7732.0,9804.0,9895.0,7.173,holt_winters
iPad,1,2026-Q2,6949.0,7158.0,209.0,6445.0,7085.0,7887.0,6.17,holt_winters
iPad,2,2026-Q3,7072.0,7281.0,209.0,6273.0,7177.0,8312.0,6.17,holt_winters
iPad,3,2026-Q4,7372.0,7581.0,209.0,6346.0,7454.0,8843.0,6.17,holt_winters
iPhone,1,2026-Q2,59771.0,66070.0,6299.0,58015.0,63376.0,82308.0,9.979,holt_winters
iPhone,2,2026-Q3,62106.0,68405.0,6299.0,57014.0,64595.0,91369.0,9.979,holt_winters
iPhone,3,2026-Q4,73628.0,79927.0,6299.0,65976.0,75261.0,108053.0,9.979,holt_winters
