fiscal_year,line_item,amount_millions
2023,products_net_sales,298085
2023,services_net_sales,85200
2023,total_net_sales,383285
2023,products_cost_of_sales,189282
2023,services_cost_of_sales,24855
2023,total_cost_of_sales,214137
2023,products_gross_margin,108803
2023,services_gross_margin,60345
2023,total_gross_margin,169148
2023,research_and_development,29915
2023,selling_general_administrative,24932
2023,total_operating_expenses,54847
2023,operating_income,114301
2023,other_income_expense_net,-565
2023,income_before_taxes,113736
2023,provision_for_income_taxes,16741
2023,net_income,96995
2024,products_net_sales,294866
2024,services_net_sales,96169
2024,total_net_sales,391035
2024,products_cost_of_sales,185233
2024,services_cost_of_sales,25119
2024,total_cost_of_sales,210352
2024,products_gross_margin,109633
2024,services_gross_margin,71050
2024,total_gross_margin,180683
2024,research_and_development,31370
2024,selling_general_administrative,26097
2024,total_operating_expenses,57467
2024,operating_income,123216
2024,other_income_expense_net,269
2024,income_before_taxes,123485
2024,provision_for_income_taxes,29749
2024,net_income,93736
2025,products_net_sales,307003
2025,services_net_sales,109158
2025,total_net_sales,416161
2025,products_cost_of_sales,194116
2025,services_cost_of_sales,26844
2025,total_cost_of_sales,220960
2025,products_gross_margin,112887
2025,services_gross_margin,82314
2025,total_gross_margin,195201
2025,research_and_development,34550
2025,selling_general_administrative,27601
2025,total_operating_expenses,62151
2025,operating_income,133050
2025,other_income_expense_net,-321
2025,income_before_taxes,132729
2025,provision_for_income_taxes,20719
2025,net_income,112010
