fiscal_year,period_end_date,product_category,net_sales_millions
2023,2023-09-30,iPhone,200583
2023,2023-09-30,Mac,29357
2023,2023-09-30,iPad,28300
2023,2023-09-30,Wearables Home and Accessories,39845
2023,2023-09-30,Services,85200
2024,2024-09-28,iPhone,201183
2024,2024-09-28,Mac,29984
2024,2024-09-28,iPad,26694
2024,2024-09-28,Wearables Home and Accessories,37005
2024,2024-09-28,Services,96169
2025,2025-09-27,iPhone,209586
2025,2025-09-27,Mac,33708
2025,2025-09-27,iPad,28023
2025,2025-09-27,Wearables Home and Accessories,35686
2025,2025-09-27,Services,109158
