period_start,period_end,product_category,net_sales_millions,fiscal_year,fiscal_quarter,derived
2023-10-01,2023-12-30,Mac,7780.0,2024,Q1,False
2023-12-31,2024-03-30,Mac,7451.0,2024,Q2,False
2024-03-31,2024-06-29,Mac,7009.0,2024,Q3,False
,2024-09-28,Mac,7744.0,2024,Q4,True
2024-09-29,2024-12-28,Mac,8987.0,2025,Q1,False
2024-12-29,2025-03-29,Mac,7949.0,2025,Q2,False
2025-03-30,2025-06-28,Mac,8046.0,2025,Q3,False
,2025-09-27,Mac,8726.0,2025,Q4,True
2025-09-28,2025-12-27,Mac,8386.0,2026,Q1,False
2023-10-01,2023-12-30,Services,23117.0,2024,Q1,False
2023-12-31,2024-03-30,Services,23867.0,2024,Q2,False
2024-03-31,2024-06-29,Services,24213.0,2024,Q3,False
,2024-09-28,Services,24972.0,2024,Q4,True
2024-09-29,2024-12-28,Services,26340.0,2025,Q1,False
2024-12-29,2025-03-29,Services,26645.0,2025,Q2,False
2025-03-30,2025-06-28,Services,27423.0,2025,Q3,False
,2025-09-27,Services,28750.0,2025,Q4,True
2025-09-28,2025-12-27,Services,30013.0,2026,Q1,False
2023-10-01,2023-12-30,Wearables Home and Accessories,11953.0,2024,Q1,False
2023-12-31,2024-03-30,Wearables Home and Accessories,7913.0,2024,Q2,False
2024-03-31,2024-06-29,Wearables Home and Accessories,8097.0,2024,Q3,False
,2024-09-28,Wearables Home and Accessories,9042.0,2024,Q4,True
2024-09-29,2024-12-28,Wearables Home and Accessories,11747.0,2025,Q1,False
2024-12-29,2025-03-29,Wearables Home and Accessories,7522.0,2025,Q2,False
2025-03-30,2025-06-28,Wearables Home and Accessories,7404.0,2025,Q3,False
,2025-09-27,Wearables Home and Accessories,9013.0,2025,Q4,True
2025-09-28,2025-12-27,Wearables Home and Accessories,11493.0,2026,Q1,False
2023-10-01,2023-12-30,iPad,7023.0,2024,Q1,False
2023-12-31,2024-03-30,iPad,5559.0,2024,Q2,False
2024-03-31,2024-06-29,iPad,7162.0,2024,Q3,False
,2024-09-28,iPad,6950.0,2024,Q4,True
2024-09-29,2024-12-28,iPad,8088.0,2025,Q1,False
2024-12-29,2025-03-29,iPad,6402.0,2025,Q2,False
2025-03-30,2025-06-28,iPad,6581.0,2025,Q3,False
,2025-09-27,iPad,6952.0,2025,Q4,True
2025-09-28,2025-12-27,iPad,8595.0,2026,Q1,False
2023-10-01,2023-12-30,iPhone,69702.0,2024,Q1,False
2023-12-31,2024-03-30,iPhone,45963.0,2024,Q2,False
2024-03-31,2024-06-29,iPhone,39296.0,2024,Q3,False
,2024-09-28,iPhone,46222.0,2024,Q4,True
2024-09-29,2024-12-28,iPhone,69138.0,2025,Q1,False
2024-12-29,2025-03-29,iPhone,46841.0,2025,Q2,False
2025-03-30,2025-06-28,iPhone,44582.0,2025,Q3,False
,2025-09-27,iPhone,49025.0,2025,Q4,True
2025-09-28,2025-12-27,iPhone,85269.0,2026,Q1,False
