fiscal_year,segment,net_sales,cost_of_sales,selling_and_marketing,operating_income
2023,Americas,162560,-92394,-9658,60508
2023,Europe,94294,-54101,-4095,36098
2023,Greater China,72559,-39787,-2444,30328
2023,Japan,24257,-11542,-827,11888
2023,Rest of Asia Pacific,29615,-16313,-1236,12066
2024,Americas,167045,-89587,-9802,67656
2024,Europe,101328,-55197,-4341,41790
2024,Greater China,66952,-37519,-2351,27082
2024,Japan,25052,-11744,-854,12454
2024,Rest of Asia Pacific,30658,-16305,-1291,13062
2025,Americas,178353,-95699,-10174,72480
2025,Europe,111032,-58617,-4676,47739
2025,Greater China,64377,-35141,-2319,26917
2025,Japan,28703,-13779,-969,13955
2025,Rest of Asia Pacific,33696,-17724,-1386,14586
