fiscal_year,period_end_date,segment,net_sales_millions
2023,2023-09-30,Americas,162560
2023,2023-09-30,Europe,94294
2023,2023-09-30,Greater China,72559
2023,2023-09-30,Japan,24257
2023,2023-09-30,Rest of Asia Pacific,29615
2024,2024-09-28,Americas,167045
2024,2024-09-28,Europe,101328
2024,2024-09-28,Greater China,66952
2024,2024-09-28,Japan,25052
2024,2024-09-28,Rest of Asia Pacific,30658
2025,2025-09-27,Americas,178353
2025,2025-09-27,Europe,111032
2025,2025-09-27,Greater China,64377
2025,2025-09-27,Japan,28703
2025,2025-09-27,Rest of Asia Pacific,33696
