period_start,period_end,segment,net_sales_millions,fiscal_year,fiscal_quarter,derived
2023-10-01,2023-12-30,Americas,50430.0,2024,Q1,False
2023-12-31,2024-03-30,Americas,37273.0,2024,Q2,False
2024-03-31,2024-06-29,Americas,37678.0,2024,Q3,False
,2024-09-28,Americas,41664.0,2024,Q4,True
2024-09-29,2024-12-28,Americas,52648.0,2025,Q1,False
2024-12-29,2025-03-29,Americas,40315.0,2025,Q2,False
2025-03-30,2025-06-28,Americas,41198.0,2025,Q3,False
,2025-09-27,Americas,44192.0,2025,Q4,True
2025-09-28,2025-12-27,Americas,58529.0,2026,Q1,False
2023-10-01,2023-12-30,Europe,30397.0,2024,Q1,False
2023-12-31,2024-03-30,Europe,24123.0,2024,Q2,False
2024-03-31,2024-06-29,Europe,21884.0,2024,Q3,False
,2024-09-28,Europe,24924.0,2024,Q4,True
2024-09-29,2024-12-28,Europe,33861.0,2025,Q1,False
2024-12-29,2025-03-29,Europe,24454.0,2025,Q2,False
2025-03-30,2025-06-28,Europe,24014.0,2025,Q3,False
,2025-09-27,Europe,28703.0,2025,Q4,True
2025-09-28,2025-12-27,Europe,38146.0,2026,Q1,False
2023-10-01,2023-12-30,Greater China,20819.0,2024,Q1,False
2023-12-31,2024-03-30,Greater China,16372.0,2024,Q2,False
2024-03-31,2024-06-29,Greater China,14728.0,2024,Q3,False
,2024-09-28,Greater China,15033.0,2024,Q4,True
2024-09-29,2024-12-28,Greater China,18513.0,2025,Q1,False
2024-12-29,2025-03-29,Greater China,16002.0,2025,Q2,False
2025-03-30,2025-06-28,Greater China,15369.0,2025,Q3,False
,2025-09-27,Greater China,14493.0,2025,Q4,True
2025-09-28,2025-12-27,Greater China,25526.0,2026,Q1,False
2023-10-01,2023-12-30,Japan,7767.0,2024,Q1,False
2023-12-31,2024-03-30,Japan,6262.0,2024,Q2,False
2024-03-31,2024-06-29,Japan,5097.0,2024,Q3,False
,2024-09-28,Japan,5926.0,2024,Q4,True
2024-09-29,2024-12-28,Japan,8987.0,2025,Q1,False
2024-12-29,2025-03-29,Japan,7298.0,2025,Q2,False
2025-03-30,2025-06-28,Japan,5782.0,2025,Q3,False
,2025-09-27,Japan,6636.0,2025,Q4,True
2025-09-28,2025-12-27,Japan,9413.0,2026,Q1,False
2023-10-01,2023-12-30,Rest of Asia Pacific,10162.0,2024,Q1,False
2023-12-31,2024-03-30,Rest of Asia Pacific,6723.0,2024,Q2,False
2024-03-31,2024-06-29,Rest of Asia Pacific,6390.0,2024,Q3,False
,2024-09-28,Rest of Asia Pacific,7383.0,2024,Q4,True
2024-09-29,2024-12-28,Rest of Asia Pacific,10291.0,2025,Q1,False
2024-12-29,2025-03-29,Rest of Asia Pacific,7290.0,2025,Q2,False
2025-03-30,2025-06-28,Rest of Asia Pacific,7673.0,2025,Q3,False
,2025-09-27,Rest of Asia Pacific,8442.0,2025,Q4,True
2025-09-28,2025-12-27,Rest of Asia Pacific,12142.0,2026,Q1,False
